Image,Title,Rating,Price,Ad/Organic Result
https://m.media-amazon.com/images/I/71EJdFiOw5L._AC_UY218_.jpg,"ASUS Zenbook A14, Snapdragon X Elite Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/14"" FHD+ OLED/AI PC/Zabriskie Beige/0.98 kg), UX3407RA-QD054WS",No Rating,"1,29,990",Sponsored
https://m.media-amazon.com/images/I/81v5jg9AAKL._AC_UY218_.jpg,"ASUS Vivobook 16, Snapdragon X Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/16"" FHD+/AI PC/Quiet Blue/1.88 kg), X1607QA-MB049WS",5.0,"1,29,990",Sponsored
https://m.media-amazon.com/images/I/71VRrc7V-PL._AC_UY218_.jpg,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD, 14""/35.56cm, Windows 11, Office 2021, Black, 1.38KG, E1404FA-NK325WS, 42WHr, Thin and Light Laptop",3.9,"1,29,990",Organic
https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Win11 Home) AL15-41, 39.62 cm (15.6"") FHD Display, Metal Body, Multicolor Backlit Keyboard, Steel Gray, 1.59 KG",3.8,"1,29,990",Organic
https://m.media-amazon.com/images/I/41XYpjPaftL._AC_UY218_.jpg,"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",3.0,"1,29,990",Organic
https://m.media-amazon.com/images/I/81sI6re6MPL._AC_UL320_.jpg,Highly rated,4.0,"1,29,990",Sponsored
https://m.media-amazon.com/images/I/81sI6re6MPL._AC_UL320_.jpg,"Lenovo LOQ, Intel Core i5-13450HX, 13th Gen, NVIDIA RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83DV00BHIN, 100% sRGB Gaming Laptop",4.0,"1,29,990",Organic
https://m.media-amazon.com/images/I/71phX67q6zL._AC_UL320_.jpg,"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop",4.0,"1,29,990",Organic
https://m.media-amazon.com/images/I/51dfURQWjOL._AC_UL320_.jpg,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray",4.0,"1,29,990",Organic
https://m.media-amazon.com/images/I/71YqSAgKL7L._AC_UL320_.jpg,"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB DDR4, 1TB SSD, (Win11, Office21, Silver,1.41 kg), IPS, Micro-edge, BrightView,14-inch (35.6cm) FHD Laptop, Intel Iris Xe graphics, HD camera,dv2015TU",4.0,"1,29,990",Organic
https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg,"Acer Nitro V, Intel Core i5-13th Gen 13420H Processor, NVIDIA GeForce RTX 4050-6 GB GDDR6(16GB DDR5, 1TB) IPS FHD, 39.62cm(15.6"") 165Hz, Win 11 Home, Obsidian Black, 2.113 kg, ANV15-51,Gaming Laptop",4.1,"1,29,990",Organic
https://m.media-amazon.com/images/I/71Vo2dXqhLL._AC_UY218_.jpg,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",No Rating,"1,59,990",Organic
https://m.media-amazon.com/images/I/81QCRdxIRLL._AC_UY218_.jpg,"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, Backlit KB, Windows 11 + MSO'21, 15 Month McAfee, Silver, Thin & Light-1.62kg",4.0,"1,59,990",Organic
https://m.media-amazon.com/images/I/5119-Rz0C4L._AC_UY218_.jpg,"(Refurbished) HP 250 G7 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM|1 TB HDD GB HDD|15.5"" HD|Windows 10 Pro|Webcam|Intel HD Graphics)",No Rating,"15,499",Organic
https://m.media-amazon.com/images/I/71d6WSuYrrL._AC_UY218_.jpg,"ASUS Zenbook A14, Snapdragon X Elite Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/14"" FHD+ OLED/AI PC/Iceland Gray/0.98 kg), UX3407RA-QD061WS",No Rating,"1,29,990",Sponsored
https://m.media-amazon.com/images/I/71CCnClM-gL._AC_UY218_.jpg,"ASUS Zenbook A14, Snapdragon X Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/14"" FHD+ OLED/AI PC/Zabriskie Beige/0.98 kg),UX3407QA-QD258WS",No Rating,"99,990",Sponsored
https://m.media-amazon.com/images/I/61yOuUNe3RL._AC_UY218_.jpg,"Dᥱll 5400 Touchscreen Intᥱl i7-8650U, 8GB DDR4 RAM, 256GB SSD, (Win 10, MS Office, Black, 1.48kg) 14"" (35.6cm) FHD, Intᥱl UHD Graphics, HD Camera, Thin & Light Laptop (Rᥱfurbished)",No Rating,"22,995",Organic
https://m.media-amazon.com/images/I/712IuEWXvzL._AC_UY218_.jpg,"HP Victus, 13th Gen Intel Core i7-13620H, 8GB NVIDIA RTX 4060, 16GB DDR4, 1TB SSD (Win11, Office21, Silver, 2.29kg), 144Hz, 9MS, IPS, 15.6-inch(39.6cm), FHD Gaming Laptop, Enhanced Cooling, fa1333TX",3.3,"22,995",Organic
https://m.media-amazon.com/images/I/71bRz-UEILL._AC_UY218_.jpg,"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu",4.0,"22,995",Organic
https://m.media-amazon.com/images/I/71Z8mjuvGmL._AC_UY218_.jpg,"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg",4.6,"22,995",Organic
